"region","contents","quarter","09332: Transfers of holiday properties with building, free market sale, by region, contents and quarter"
"01 Østfold","Purchase price per transfer (NOK 1 000)","2000K2",722
"01 Østfold","Purchase price per transfer (NOK 1 000)","2000K3",710
"01 Østfold","Purchase price per transfer (NOK 1 000)","2000K4",737
"01 Østfold","Purchase price per transfer (NOK 1 000)","2001K1",507
"01 Østfold","Purchase price per transfer (NOK 1 000)","2001K2",713
"01 Østfold","Purchase price per transfer (NOK 1 000)","2001K3",719
"01 Østfold","Purchase price per transfer (NOK 1 000)","2001K4",766
"01 Østfold","Purchase price per transfer (NOK 1 000)","2002K1",788
"01 Østfold","Purchase price per transfer (NOK 1 000)","2002K2",799
"01 Østfold","Purchase price per transfer (NOK 1 000)","2002K3",921
"01 Østfold","Purchase price per transfer (NOK 1 000)","2002K4",872
"01 Østfold","Purchase price per transfer (NOK 1 000)","2003K1",970
"01 Østfold","Purchase price per transfer (NOK 1 000)","2003K2",957
"01 Østfold","Purchase price per transfer (NOK 1 000)","2003K3",871
"01 Østfold","Purchase price per transfer (NOK 1 000)","2003K4",890
"01 Østfold","Purchase price per transfer (NOK 1 000)","2004K1",717
"01 Østfold","Purchase price per transfer (NOK 1 000)","2004K2",1028
"01 Østfold","Purchase price per transfer (NOK 1 000)","2004K3",921
"01 Østfold","Purchase price per transfer (NOK 1 000)","2004K4",979
"01 Østfold","Purchase price per transfer (NOK 1 000)","2005K1",768
"01 Østfold","Purchase price per transfer (NOK 1 000)","2005K2",1235
"01 Østfold","Purchase price per transfer (NOK 1 000)","2005K3",1145
"01 Østfold","Purchase price per transfer (NOK 1 000)","2005K4",963
"01 Østfold","Purchase price per transfer (NOK 1 000)","2006K1",788
"01 Østfold","Purchase price per transfer (NOK 1 000)","2006K2",1486
"01 Østfold","Purchase price per transfer (NOK 1 000)","2006K3",1278
"01 Østfold","Purchase price per transfer (NOK 1 000)","2006K4",979
"01 Østfold","Purchase price per transfer (NOK 1 000)","2007K1",955
"01 Østfold","Purchase price per transfer (NOK 1 000)","2007K2",1311
"01 Østfold","Purchase price per transfer (NOK 1 000)","2007K3",1499
"01 Østfold","Purchase price per transfer (NOK 1 000)","2007K4",1249
"01 Østfold","Purchase price per transfer (NOK 1 000)","2008K1",1440
"01 Østfold","Purchase price per transfer (NOK 1 000)","2008K2",1364
"01 Østfold","Purchase price per transfer (NOK 1 000)","2008K3",1835
"01 Østfold","Purchase price per transfer (NOK 1 000)","2008K4",1329
"01 Østfold","Purchase price per transfer (NOK 1 000)","2009K1",1149
"01 Østfold","Purchase price per transfer (NOK 1 000)","2009K2",1637
"01 Østfold","Purchase price per transfer (NOK 1 000)","2009K3",1505
"01 Østfold","Purchase price per transfer (NOK 1 000)","2009K4",1345
"01 Østfold","Purchase price per transfer (NOK 1 000)","2010K1",1273
"01 Østfold","Purchase price per transfer (NOK 1 000)","2010K2",1579
"01 Østfold","Purchase price per transfer (NOK 1 000)","2010K3",1676
"01 Østfold","Purchase price per transfer (NOK 1 000)","2010K4",1387
"01 Østfold","Purchase price per transfer (NOK 1 000)","2011K1",1308
"01 Østfold","Purchase price per transfer (NOK 1 000)","2011K2",1770
"01 Østfold","Purchase price per transfer (NOK 1 000)","2011K3",1774
"01 Østfold","Purchase price per transfer (NOK 1 000)","2011K4",1395
"01 Østfold","Purchase price per transfer (NOK 1 000)","2012K1",1202
"01 Østfold","Purchase price per transfer (NOK 1 000)","2012K2",1846
